iter	Passed	Remaining
896	35897	4122
897	35940	4082
898	35984	4042
899	36028	4003
900	36078	3964
901	36125	3924
902	36168	3885
903	36213	3845
904	36257	3806
905	36300	3766
906	36341	3726
907	36390	3687
908	36435	3647
909	36484	3608
910	36533	3569
911	36579	3529
912	36625	3490
913	36668	3450
914	36715	3410
915	36757	3370
916	36805	3331
917	36853	3291
918	36901	3252
919	36941	3212
920	36983	3172
921	37027	3132
922	37075	3092
923	37124	3053
924	37190	3015
925	37244	2976
926	37291	2936
927	37335	2896
928	37383	2857
929	37432	2817
930	37477	2777
931	37527	2738
932	37570	2697
933	37613	2657
934	37669	2618
935	37717	2578
936	37760	2538
937	37802	2498
938	37844	2458
939	37892	2418
940	37933	2378
941	37978	2338
942	38021	2298
943	38069	2258
944	38119	2218
945	38164	2178
946	38209	2138
947	38256	2098
948	38302	2058
949	38350	2018
950	38397	1978
951	38438	1938
952	38482	1897
953	38529	1857
954	38572	1817
955	38617	1777
956	38662	1737
957	38704	1696
958	38749	1656
959	38794	1616
960	38839	1576
961	38884	1535
962	38935	1495
963	38979	1455
964	39024	1415
965	39075	1375
966	39116	1334
967	39156	1294
968	39198	1254
969	39243	1213
970	39284	1173
971	39325	1132
972	39372	1092
973	39416	1052
974	39458	1011
975	39503	971
976	39545	930
977	39585	890
978	39623	849
979	39669	809
980	39709	769
981	39752	728
982	39795	688
983	39833	647
984	39876	607
985	39917	566
986	39960	526
987	39999	485
988	40040	445
989	40080	404
990	40123	364
991	40169	323
992	40213	283
993	40254	242
994	40298	202
995	40339	162
996	40380	121
997	40422	81
998	40461	40
999	40504	0
